datum	2018	2019	2020	2021	2022	2023	2024	2025	2030	2035	2040	2050
02/01/00 10:00	 € 0.05000000000 	 € 0.05240000000 	 € 0.04560000000 	 € 0.05200000000 	 € 0.07010000000 	 € 0.14560000000 	 € 0.07060000000 	 € 0.13600000000 	 € -   	 € 0.00001000000 	 € 0.02600000000 	 € 0.02600000000 
02/01/00 11:00	 € 0.04970000000 	 € 0.05190000000 	 € 0.04510000000 	 € 0.05220000000 	 € 0.06630000000 	 € 0.14340000000 	 € 0.07880000000 	 € 0.11193000000 	 € -   	 € -   	 € 0.02200000000 	 € 0.02500000000 
02/01/00 12:00	 € 0.04820000000 	 € 0.05160000000 	 € 0.04520000000 	 € 0.05600000000 	 € 0.06450000000 	 € 0.14440000000 	 € 0.09990000000 	 € 0.10152000000 	 € -   	 € -   	 € 0.02200000000 	 € 0.02500000000 
02/01/00 13:00	 € 0.04720000000 	 € 0.05180000000 	 € 0.04490000000 	 € 0.05200000000 	 € 0.04700000000 	 € 0.14380000000 	 € 0.10250000000 	 € 0.10560000000 	 € -   	 € 0.00001000000 	 € 0.02200000000 	 € 0.02500000000 
02/01/00 14:00	 € 0.04610000000 	 € 0.05260000000 	 € 0.04410000000 	 € 0.05070000000 	 € 0.04910000000 	 € 0.14820000000 	 € 0.11060000000 	 € 0.11895000000 	 € -   	 € -   	 € 0.02200000000 	 € 0.02500000000 
02/01/00 15:00	 € 0.04390000000 	 € 0.06000000000 	 € 0.04360000000 	 € 0.05350000000 	 € 0.07500000000 	 € 0.15530000000 	 € 0.10570000000 	 € 0.13011000000 	 € -   	 € 0.00001000000 	 € 0.02200000000 	 € 0.02500000000 
02/01/00 16:00	 € 0.04360000000 	 € 0.07000000000 	 € 0.04440000000 	 € 0.06000000000 	 € 0.08500000000 	 € 0.16400000000 	 € 0.10070000000 	 € 0.13881000000 	 € -   	 € 0.00001000000 	 € 0.02600000000 	 € 0.02600000000 
02/01/00 17:00	 € 0.04740000000 	 € 0.08000000000 	 € 0.04610000000 	 € 0.06200000000 	 € 0.10000000000 	 € 0.18570000000 	 € 0.11893000000 	 € 0.15300000000 	 € -   	 € 0.00001000000 	 € 0.02500000000 	 € 0.02500000000 
02/01/00 18:00	 € 0.04610000000 	 € 0.07770000000 	 € 0.04670000000 	 € 0.06310000000 	 € 0.10990000000 	 € 0.17470000000 	 € 0.08130000000 	 € 0.15299000000 	 € 0.01370000000 	 € 0.01370000000 	 € 0.01448000000 	 € 0.01448000000 
02/01/00 19:00	 € 0.04110000000 	 € 0.07650000000 	 € 0.04460000000 	 € 0.06220000000 	 € 0.09990000000 	 € 0.16990000000 	 € 0.07010000000 	 € 0.12800000000 	 € -   	 € 0.00001000000 	 € 0.01446000000 	 € 0.01446000000 
02/01/00 20:00	 € 0.03490000000 	 € 0.06730000000 	 € 0.03490000000 	 € 0.06000000000 	 € 0.07700000000 	 € 0.15300000000 	 € 0.06670000000 	 € 0.12917000000 	 € -   	 € 0.00001000000 	 € 0.00001000000 	 € 0.00001000000 
02/01/00 21:00	 € 0.02550000000 	 € 0.05560000000 	 € 0.03420000000 	 € 0.05500000000 	 € 0.04620000000 	 € 0.14170000000 	 € 0.05490000000 	 € 0.12000000000 	 € -   	 € 0.00001000000 	 € 0.01446000000 	 € 0.01446000000 
02/01/00 22:00	 € 0.02710000000 	 € 0.05380000000 	 € 0.03240000000 	 € 0.05230000000 	 € 0.04630000000 	 € 0.13490000000 	 € 0.05318000000 	 € 0.11990000000 	 € -   	 € -   	 € 0.00001000000 	 € 0.00001000000 
02/01/00 23:00	 € 0.02850000000 	 € 0.05240000000 	 € 0.02880000000 	 € 0.04850000000 	 € 0.03290000000 	 € 0.12420000000 	 € 0.05490000000 	 € 0.11607000000 	 € -   	 € -   	 € 0.00001000000 	 € 0.00001000000 
03/01/00 00:00	 € 0.02770000000 	 € 0.05010000000 	 € 0.02740000000 	 € 0.04610000000 	 € 0.00030000000 	 € 0.13000000000 	 € -0.00039000000 	 € 0.11432000000 	 € -   	 € -   	 € -   	 € -   
03/01/00 01:00	 € 0.02580000000 	 € 0.04710000000 	 € 0.02770000000 	 € 0.04300000000 	 € -   	 € 0.12000000000 	 € -0.00161000000 	 € 0.11500000000 	 € -   	 € -   	 € -   	 € -   
